class,provider_name,source_path,default_model
Anthropic,anthropic,llms/Anthropic.ts,
Cohere,cohere,llms/Cohere.ts,
CometAPI,cometapi,llms/CometAPI.ts,
FunctionNetwork,function-network,llms/FunctionNetwork.ts,
Gemini,gemini,llms/Gemini.ts,
Llamafile,llamafile,llms/Llamafile.ts,
Moonshot,moonshot,llms/Moonshot.ts,
Ollama,ollama,llms/Ollama.ts,
Replicate,replicate,llms/Replicate.ts,
TextGenWebUI,text-gen-webui,llms/TextGenWebUI.ts,
Together,together,llms/Together.ts,
Novita,novita,llms/Novita.ts,
HuggingFaceTGI,huggingface-tgi,llms/HuggingFaceTGI.ts,
HuggingFaceTEIEmbeddingsProvider,huggingface-tei,llms/HuggingFaceTEI.ts,
HuggingFaceInferenceAPI,huggingface-inference-api,llms/HuggingFaceInferenceAPI.ts,
Kindo,kindo,llms/Kindo.ts,
LlamaCpp,llama.cpp,llms/LlamaCpp.ts,
OpenAI,openai,llms/OpenAI.ts,
OVHcloud,ovhcloud,llms/OVHcloud.ts,
Lemonade,lemonade,llms/Lemonade.ts,
LMStudio,lmstudio,llms/LMStudio.ts,
Mistral,mistral,llms/Mistral.ts,
Mimo,mimo,llms/Mimo.ts,
MiniMax,minimax,llms/MiniMax.ts,
Bedrock,bedrock,llms/Bedrock.ts,
BedrockImport,bedrockimport,llms/BedrockImport.ts,
SageMaker,sagemaker,llms/SageMaker.ts,
DeepInfra,deepinfra,llms/DeepInfra.ts,
Flowise,flowise,llms/Flowise.ts,
Groq,groq,llms/Groq.ts,
Fireworks,fireworks,llms/Fireworks.ts,
NCompass,ncompass,llms/NCompass.ts,
ContinueProxy,continue-proxy,llms/stubs/ContinueProxy.ts,
Cloudflare,cloudflare,llms/Cloudflare.ts,
Deepseek,deepseek,llms/Deepseek.ts,
Docker,docker,llms/Docker.ts,
Msty,msty,llms/Msty.ts,
Azure,azure,llms/Azure.ts,
WatsonX,watsonx,llms/WatsonX.ts,
OpenRouter,openrouter,llms/OpenRouter.ts,
ClawRouter,clawrouter,llms/ClawRouter.ts,
Nvidia,nvidia,llms/Nvidia.ts,
Vllm,vllm,llms/Vllm.ts,
SambaNova,sambanova,llms/SambaNova.ts,
MockLLM,mock,llms/Mock.ts,
TestLLM,test,llms/Test.ts,
Cerebras,cerebras,llms/Cerebras.ts,
Asksage,askSage,llms/Asksage.ts,
Nebius,nebius,llms/Nebius.ts,
Nous,nous,llms/Nous.ts,
Venice,venice,llms/Venice.ts,
VertexAI,vertexai,llms/VertexAI.ts,
xAI,xAI,llms/xAI.ts,
SiliconFlow,siliconflow,llms/SiliconFlow.ts,
Tensorix,tensorix,llms/Tensorix.ts,
Scaleway,scaleway,llms/Scaleway.ts,
Relace,relace,llms/Relace.ts,
Inception,inception,llms/Inception.ts,
Voyage,voyage,llms/Voyage.ts,
LlamaStack,llamastack,llms/LlamaStack.ts,
TARS,tars,llms/TARS.ts,
zAI,zAI,llms/zAI.ts,
