device,arch,params,publisher,model_id,quant,size,modified
LM Studio,qwen2,14B,lmstudio-community,qwen/qwen2.5-coder-14b,Q4_K_M,9.0 GB,95 days ago
LM Studio,glm4,9.4B,lmstudio-community,zai-org/glm-4.6v-flash,Q4_K_M,8.0 GB,95 days ago
LM Studio,qwen3,4B,lmstudio-community,qwen/qwen3-4b-2507,Q8_0,4.3 GB,211 days ago
LM Studio,qwen2,7B,Mungert,olympiccoder-7b/OlympicCoder-7B-q6_k_m.gguf,Q6_K_M,6.3 GB,330 days ago
LM Studio,qwen3,8.2B,Mungert,deepseek-r1-0528-qwen3-8b/DeepSeek-R1-0528-Qwen3-8B-q4_k_m.gguf,Q4_K_M,5.1 GB,330 days ago
LM Studio,llama,8B,FiditeNemini,llama-3.1-unhinged-vision-8b/Llama-3.1-Unhinged-Vision-8B-q8_0.gguf,Q8_0,9.2 GB,586 days ago
LM Studio,llama,7B,Lewdiculous,eris_primev4-vision-32k-7b-iq-imatrix/Eris_PrimeV4-Vision-32k-7B-Q8_0-imat.gguf,Q8_0,8.3 GB,600 days ago
LM Studio,llama,8B,PsiPi,nousresearch_nous-hermes-2-vision/NousResearch_Nous-Hermes-2-Vision-GGUF_Q5_K_M.gguf,Q5_K_M,6.0 GB,600 days ago
LM Studio,llama,8B,QuantFactory,ko-llama-3.1-8b-lexi-uncensored-v2@q6_k/Ko-Llama-3.1-8B-Lexi-Uncensored-V2.Q6_K.gguf,Q6_K,6.6 GB,602 days ago
LM Studio,llama,8B,QuantFactory,ko-llama-3.1-8b-lexi-uncensored-v2@q8_0/Ko-Llama-3.1-8B-Lexi-Uncensored-V2.Q8_0.gguf,Q8_0,8.5 GB,602 days ago
LM Studio,phi3,3.8B,abetlen,phi-3.5-vision-instruct@f16/Phi-3.5-3.8B-vision-instruct-F16.gguf,F16,8.3 GB,603 days ago
LM Studio,phi3,3.8B,abetlen,phi-3.5-vision-instruct@q8_0/Phi-3.5-3.8B-vision-instruct-Q8_0.gguf,Q8_0,4.7 GB,603 days ago
LM Studio,qwen2,7B,bartowski,qwen2-7b-instruct/Qwen2-7B-Instruct-Q8_0.gguf,Q8_0,8.1 GB,694 days ago
LM Studio,llama,7B,QuantFactory,autocoder_s_6.7b/AutoCoder_S_6.7B.Q8_0.gguf,Q8_0,7.2 GB,694 days ago
LM Studio,qwen2,7B,Qwen,codeqwen1.5-7b-chat/codeqwen-1_5-7b-chat-q6_k.gguf,Q6_K,6.4 GB,734 days ago
LM Studio,llama,8B,mradermacher,llama-3-8b-instruct-262k/Llama-3-8B-Instruct-262k.Q6_K.gguf,Q6_K,6.6 GB,734 days ago
LM Studio,llama,7B,bartowski,aixcoder-7b@q5_k_m/aixcoder-7b-Q5_K_M.gguf,Q5_K_M,5.6 GB,748 days ago
LM Studio,llama,7B,bartowski,aixcoder-7b@q8_0/aixcoder-7b-Q8_0.gguf,Q8_0,7.9 GB,748 days ago
LM Studio,llama,8B,TheBloke,llama2_7b_chat_uncensored/llama2_7b_chat_uncensored.Q5_K_M.gguf,Q5_K_M,4.8 GB,785 days ago
LM Studio,llama,8B,TheBloke,luna-ai-llama2-uncensored@q3_k_m/luna-ai-llama2-uncensored.Q3_K_M.gguf,Q3_K_M,3.3 GB,785 days ago
LM Studio,llama,8B,TheBloke,luna-ai-llama2-uncensored@q4_k_m/luna-ai-llama2-uncensored.Q4_K_M.gguf,Q4_K_M,4.1 GB,785 days ago
LM Studio,phi2,3B,afrideva,phi-2-uncensored@q4_k_m/phi-2-uncensored.q4_k_m.gguf,Q4_K_M,1.8 GB,785 days ago
LM Studio,phi2,3B,afrideva,phi-2-uncensored@q6_k/phi-2-uncensored.q6_k.gguf,Q6_K,2.3 GB,785 days ago
LM Studio,gemma4,31B,TeichAI,gemma-4-31b-it-claude-opus-distill/gemma-4-31B-it-Claude-Opus-Distill.q4_k_m.gguf,Q4_K_M,21.0 GB,17 days ago
LM Studio,qwen35,9.0B,Jackrong,qwen3.5-9b-glm5.1-distill-v1/Qwen3.5-9B-GLM5.1-Distill-v1-Q5_K_M.gguf,Q5_K_M,6.5 GB,17 days ago
LM Studio,gemma4,26B-A4B,unsloth,gemma-4-26b-a4b-it/gemma-4-26B-A4B-it-UD-Q5_K_XL.gguf,Q5_K_XL,21.2 GB,17 days ago
LM Studio,gemma4,7.5B,HauhauCS,gemma-4-e4b-uncensored-hauhaucs-aggressive/Gemma-4-E4B-Uncensored-HauhauCS-Aggressive-Q8_K_P.gguf,Q8_K_P,9.1 GB,24 days ago
LM Studio,gemma4,7.5B,TrevorJS,gemma-4-e4b-it-uncensored@q4_k_m/gemma-4-E4B-it-uncensored-Q4_K_M.gguf,Q4_K_M,5.3 GB,24 days ago
LM Studio,gemma4,7.5B,TrevorJS,gemma-4-e4b-it-uncensored@q8_0/gemma-4-E4B-it-uncensored-Q8_0.gguf,Q8_0,8.0 GB,24 days ago
LM Studio,gemma4,7.5B,lmstudio-community,gemma-4-e4b-it/gemma-4-E4B-it-Q8_0.gguf,Q8_0,9.0 GB,27 days ago
LM Studio,qwen2vl,7B,mradermacher,gta1-7b-2507/GTA1-7B-2507.Q4_K_S.gguf,Q4_K_S,5.8 GB,35 days ago
LM Studio,llama,12B,D1rtyB1rd,looking-glass-alice-thinking-nsfw-rp/Looking-Glass-Alice-Thinking-NSFW-RP-q8.gguf,Q8,13.0 GB,39 days ago
LM Studio,gemma2,9B,mradermacher,dirty-muse-writer-v01-uncensored-erotica-nsfw-i1/Dirty-Muse-Writer-v01-Uncensored-Erotica-NSFW.i1-Q6_K.gguf,Q6_K,7.6 GB,39 days ago
LM Studio,qwen35,9B,mradermacher,crow-9b-opus-4.6-distill-heretic_qwen3.5/Crow-9B-Opus-4.6-Distill-Heretic_Qwen3.5.Q8_0.gguf,Q8_0,10.4 GB,47 days ago
LM Studio,qwen35,9.0B,kryp1234,qwen3.5-9b-claude-4.6-os-auto-variable-heretic-uncensored-thinking-max-neocode-imatrix/Qwen3.5-9B-Claude-4.6-OS-AV-H-UNCENSORED-THINK-D_AU-Q8_0.gguf,Q8_0,12.3 GB,48 days ago
LM Studio,qwen35,27B,llmfan46,qwen3.5-27b-claude-4.6-opus-reasoning-distilled-heretic-v1/Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled-heretic-Q4_K_S.gguf,Q4_K_S,17.4 GB,48 days ago
LM Studio,qwen3vl,8.2B,Crownelius,the-crow-9b-creative-writing-opus4.6-distill-heretic/Crow-8B.gguf,,8.7 GB,48 days ago
LM Studio,qwen35,9.0B,Jackrong,qwen3.5-9b-claude-4.6-opus-reasoning-distilled/Qwen3.5-9B.Q8_0.gguf,Q8_0,10.4 GB,48 days ago
LM Studio,qwen35,27B,eugenehp,qwen3.5-27b-claude-4.6-opus-reasoning-distilled/Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled-Q4_K_S.gguf,Q4_K_S,15.6 GB,48 days ago
LM Studio,gpt-oss,20B,mradermacher,openai-gpt-oss-20b-instruct-heretic-uncensored-i1/OpenAI-gpt-oss-20B-INSTRUCT-Heretic-Uncensored.i1-Q4_K_S.gguf,Q4_K_S,14.7 GB,48 days ago
LM Studio,qwen35,27B,Sepolian,huihui-qwen3.5-27b-claude-4.6-opus-abliterated/Huihui-Qwen3.5-27B-Claude-4.6-Opus-abliterated-Q4_K_M.gguf,Q4_K_M,16.5 GB,48 days ago
LM Studio,llama,8B,ippity,chesslm-0.01-llama-3.1-8b/chessLM-0.01-llama-3.1-8b-1300-1700-elo.Q4_K_M.gguf,Q4_K_M,4.9 GB,50 days ago
LM Studio,gemma3,268M,NAKSTStudio,chess-gemma-commentary/chess-commentary-model_q8_0.gguf,Q8_0,291.5 MB,50 days ago
LM Studio,qwen35,27B,llmfan46,qwen3.5-27b-ultimate-heretic/Qwen3.5-27B-ultimate-heretic-Q4_K_S.gguf,Q4_K_S,17.4 GB,60 days ago
LM Studio,qwen35,9.0B,EclipseMist,qwen3.5-9b-opus-4.6-distill-exp/qwen3.5_9b_Opus-4.6-Distill-Exp.Q8_0.gguf,Q8_0,11.4 GB,61 days ago
LM Studio,qwen35,4.2B,mradermacher,qwen3.5-4b_abliterated/Qwen3.5-4B_Abliterated.Q4_K_S.gguf,Q4_K_S,3.2 GB,61 days ago
LM Studio,qwen35,4B,mradermacher,qwen3.5-4b-paperwitch-heresy/Qwen3.5-4B-PaperWitch-heresy.Q4_K_S.gguf,Q4_K_S,3.2 GB,61 days ago
LM Studio,qwen35,1.9B,Jackrong,qwen3.5-2b-claude-4.6-opus-reasoning-distilled/Qwen3.5-2B.Q8_0.gguf,Q8_0,2.0 GB,61 days ago
LM Studio,qwen35,2B,mradermacher,qwen3.5-2b-heretic/Qwen3.5-2B-heretic.Q8_0.gguf,Q8_0,2.0 GB,61 days ago
LM Studio,qwen35,752M,mradermacher,qwen3.5-0.8b_abliterated-i1/Qwen3.5-0.8B_Abliterated.i1-Q6_K.gguf,Q6_K,629.7 MB,61 days ago
LM Studio,deepseek2,64x2.6B,DavidAU,glm-4.7-flash-uncensored-heretic-neo-code-imatrix-max/GLM-4.7-Flash-Uncen-Hrt-NEO-CODE-MAX-imat-D_AU-Q6_K.gguf,Q6_K,25.0 GB,68 days ago
LM Studio,qwen2,7.6B,Nerdsking,nerdsking-python-coder-7b-i/nerdsking-python-coder-7B-i-Q8_0_i.gguf,Q8_0_I,8.1 GB,68 days ago
LM Studio,qwen3moe,30B-A3B,unsloth,qwen3-coder-30b-a3b-instruct/Qwen3-Coder-30B-A3B-Instruct-UD-Q5_K_XL.gguf,Q5_K_XL,21.7 GB,69 days ago
LM Studio,qwen2,3.1B,Nerdsking,nerdsking-python-coder-3b-i/nerdsking-python-coder-3B-i_Q8_0.gguf,Q8_0,3.3 GB,69 days ago
LM Studio,qwen2,3B,mradermacher,qwen2.5-coder-3b-instruct-distill-qwen3-coder-next-abliterated-i1/Qwen2.5-Coder-3B-Instruct-Distill-Qwen3-Coder-Next-abliterated.i1-Q4_K_S.gguf,Q4_K_S,1.8 GB,69 days ago
LM Studio,qwen2,7B,Borg,evony-7b-3800/evony-7b-3800-f16.gguf,F16,15.2 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-3800-ultrafast/evony-7b-3800-Ultrafast-Q2.gguf,Q2,3.0 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-3800-speed/evony-7b-3800-Speed-Q3.gguf,Q3,3.8 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-3800-rtx3060/evony-7b-3800-RTX3060-Q4.gguf,Q4,4.7 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-3800-rx7800xt/evony-7b-3800-RX7800XT-Q6.gguf,Q6,6.3 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-3800-rtx3090ti/evony-7b-3800-RTX3090Ti-Q8.gguf,Q8,8.1 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-ultrafast/evony-7b-UltraFast-Q2.gguf,Q2,3.0 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-speed/evony-7b-Speed-Q3.gguf,Q3,3.8 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-rtx3060/evony-7b-RTX3060-Q4.gguf,Q4,4.7 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-rx7800xt/evony-7b-RX7800XT-Q6.gguf,Q6,6.3 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b-rtx3090ti/evony-7b-RTX3090Ti-Q8.gguf,Q8,8.1 GB,113 days ago
LM Studio,qwen2,7B,Borg,evony-7b/evony-7b-f16.gguf,F16,15.2 GB,114 days ago
LM Studio,qwen2,8B,Borg,evony-qwen3-8b-phase2@q8_0/evony-qwen3-8b-phase2-Q8_0.gguf,Q8_0,8.1 GB,117 days ago
LM Studio,qwen2,8B,Borg,evony-qwen3-8b-phase2@q4_k_m/evony-qwen3-8b-phase2-Q4_K_M.gguf,Q4_K_M,4.7 GB,117 days ago
LM Studio,qwen2,8B,Borg,evony-qwen3-8b-phase2@f16/evony-qwen3-8b-phase2-F16.gguf,F16,15.2 GB,117 days ago
LM Studio,qwen3,4B,DavidAU,qwen3-4b-gemini-triplex-high-reasoning-thinking-heretic-uncensored/Qwen3-4B-TripleX-Heretic-Uncensored-Q8_0.gguf,Q8_0,4.3 GB,118 days ago
LM Studio,qwen3vl,2B,prithivMLmods,qwen3-vl-2b-thinking-abliterated-v1@f16/Qwen3-VL-2B-Thinking-abliterated-v1.f16.gguf,F16,4.3 GB,118 days ago
LM Studio,qwen3vl,2B,prithivMLmods,qwen3-vl-2b-thinking-abliterated-v1@q8_0/Qwen3-VL-2B-Thinking-abliterated-v1.Q8_0.gguf,Q8_0,2.7 GB,118 days ago
LM Studio,qwen3,4B,unsloth,qwen3-4b-instruct-2507/Qwen3-4B-Instruct-2507-UD-Q6_K_XL.gguf,Q6_K_XL,3.7 GB,118 days ago
LM Studio,qwen3vl,2B,mradermacher,qwen3-vl-2b-instruct-abliterated/Qwen3-VL-2B-Instruct-abliterated.Q6_K.gguf,Q6_K,2.2 GB,118 days ago
LM Studio,qwen2vl,3B,huihui-ai,qwen2.5-vl-3b-instruct-abliterated/ggml-model-Q4_K_M.gguf,Q4_K_M,3.3 GB,118 days ago
LM Studio,llama,3.4B,NovachronoAI,ministral-3b-instruct-abliterated/ministral-3b-abliterated-Q4_K_M.gguf,Q4_K_M,2.1 GB,118 days ago
LM Studio,qwen3vl,2B,mradermacher,qwen3-vl-2b-instruct-abliterated-i1/Qwen3-VL-2B-Instruct-abliterated.i1-Q6_K.gguf,Q6_K,1.4 GB,118 days ago
LM Studio,llama,8B,juntaoyuan,chemistry-assistant-7b/chemistry-assistant-7b-q5_k_m.gguf,Q5_K_M,4.8 GB,118 days ago
LM Studio,qwen3vlmoe,96x1.8B,OpenMOSE,qwen3-vl-reap-24b-a3b/qwen3-vl-24b-reap-Q4_K_M.gguf,Q4_K_M,15.2 GB,124 days ago
LM Studio,qwen2vl,2B,lmstudio-community,qwen2-vl-2b-instruct/Qwen2-VL-2B-Instruct-Q8_0.gguf,Q8_0,4.3 GB,124 days ago
LM Studio,qwen3moe,4x6B,DavidAU,qwen3-24b-a4b-freedom-thinking-abliterated-heretic-neo-imatrix/Qwen3-24B-A4B-Freedom-Think-Ablit-Heretic-Neo-D_AU-Q8_0.gguf,Q8_0,18.6 GB,126 days ago
